CustomerID,Lookalikes
C0001,"[('C0069', 0.919733109887925), ('C0120', 0.8543159974024752), ('C0026', 0.843570411313563)]"
C0002,"[('C0031', 0.9202337133472378), ('C0189', 0.8737868924491361), ('C0178', 0.8720636717044609)]"
C0003,"[('C0195', 0.8434209191895081), ('C0166', 0.7659811432686053), ('C0133', 0.681307897158288)]"
C0004,"[('C0065', 0.9461946558286309), ('C0075', 0.9323507034133192), ('C0012', 0.9101729842821253)]"
C0005,"[('C0095', 0.934289715897308), ('C0197', 0.9300710983208511), ('C0007', 0.8922849893920838)]"
C0006,"[('C0196', 0.9047361265351178), ('C0185', 0.8855382736800347), ('C0187', 0.7882808066174908)]"
C0007,"[('C0085', 0.9511940575372266), ('C0005', 0.8922849893920838), ('C0140', 0.8811140534262073)]"
C0008,"[('C0093', 0.8895017739485067), ('C0109', 0.7904280618030824), ('C0145', 0.789439002080877)]"
C0009,"[('C0033', 0.9896793191870372), ('C0032', 0.978127311254694), ('C0198', 0.9780984049468202)]"
C0010,"[('C0030', 0.9238272937324159), ('C0056', 0.9121778799861471), ('C0111', 0.8455718382355083)]"
C0011,"[('C0027', 0.8360710070657422), ('C0153', 0.8247544183293546), ('C0016', 0.7935200306460163)]"
C0012,"[('C0065', 0.9596487290460511), ('C0004', 0.9101729842821253), ('C0113', 0.9035680120985755)]"
C0013,"[('C0099', 0.9253362833633331), ('C0156', 0.9080346716155888), ('C0141', 0.8878751643249504)]"
C0014,"[('C0128', 0.9925999311020774), ('C0097', 0.9854692066084779), ('C0060', 0.9769987171635335)]"
C0015,"[('C0123', 0.9785783273476027), ('C0128', 0.9660634391147229), ('C0095', 0.9492006737091787)]"
C0016,"[('C0107', 0.8626165382954853), ('C0074', 0.8098135674037484), ('C0011', 0.7935200306460163)]"
C0017,"[('C0075', 0.9333696592558722), ('C0004', 0.9034453876931029), ('C0122', 0.8373518657592266)]"
C0018,"[('C0068', 0.897493248698922), ('C0087', 0.880721653136581), ('C0051', 0.8729642872985643)]"
C0019,"[('C0191', 0.8266955195664689), ('C0174', 0.8263553910917761), ('C0118', 0.8050715388689962)]"
C0020,"[('C0140', 0.9720352956530697), ('C0078', 0.9194029526002954), ('C0085', 0.8983632030606573)]"
